id,name,classification,identifiers,sources
praha:org:zastupitelstvo-hmp,Zastupitelstvo hlavního města Prahy,assembly,"[{""scheme"": ""praha:org_abbr"", ""identifier"": ""Zastupitelstvo hl. m. Prahy""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""Praha open-data roll-call CSV, term 2022-2026""}]"
praha:org:candidate-list:praha-sobe,PRAHA SOBĚ,candidate_list,"[{""scheme"": ""volby.cz:xstrana"", ""identifier"": ""1373""}]","[{""url"": ""https://www.volby.cz/pls/kv2022/kv1111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstat=0&xvyber=0"", ""note"": ""2022 municipal election, list #4 (11 seats).""}, {""url"": ""https://www.volby.cz/pls/kv2022/kv111111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstrana=1373&xstat=0&xvyber=0"", ""note"": ""Per-list candidate results, elected candidates marked '*'.""}]"
praha:org:candidate-list:starostove-a-nezavisli,STAROSTOVÉ A NEZÁVISLÍ,candidate_list,"[{""scheme"": ""volby.cz:xstrana"", ""identifier"": ""166""}]","[{""url"": ""https://www.volby.cz/pls/kv2022/kv1111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstat=0&xvyber=0"", ""note"": ""2022 municipal election, list #6 (5 seats).""}, {""url"": ""https://www.volby.cz/pls/kv2022/kv111111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstrana=166&xstat=0&xvyber=0"", ""note"": ""Per-list candidate results, elected candidates marked '*'.""}]"
praha:org:candidate-list:ceska-piratska-strana,Česká pirátská strana,candidate_list,"[{""scheme"": ""volby.cz:xstrana"", ""identifier"": ""720""}]","[{""url"": ""https://www.volby.cz/pls/kv2022/kv1111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstat=0&xvyber=0"", ""note"": ""2022 municipal election, list #8 (13 seats).""}, {""url"": ""https://www.volby.cz/pls/kv2022/kv111111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstrana=720&xstat=0&xvyber=0"", ""note"": ""Per-list candidate results, elected candidates marked '*'.""}]"
praha:org:candidate-list:spolu-pro-prahu,SPOLU pro Prahu,candidate_list,"[{""scheme"": ""volby.cz:xstrana"", ""identifier"": ""1327""}]","[{""url"": ""https://www.volby.cz/pls/kv2022/kv1111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstat=0&xvyber=0"", ""note"": ""2022 municipal election, list #14 (19 seats).""}, {""url"": ""https://www.volby.cz/pls/kv2022/kv111111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstrana=1327&xstat=0&xvyber=0"", ""note"": ""Per-list candidate results, elected candidates marked '*'.""}]"
praha:org:candidate-list:spd-trik-pes-a-nez-pro-prahu,"SPD,Trik.,PES a nez. pro Prahu",candidate_list,"[{""scheme"": ""volby.cz:xstrana"", ""identifier"": ""1545""}]","[{""url"": ""https://www.volby.cz/pls/kv2022/kv1111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstat=0&xvyber=0"", ""note"": ""2022 municipal election, list #16 (3 seats).""}, {""url"": ""https://www.volby.cz/pls/kv2022/kv111111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstrana=1545&xstat=0&xvyber=0"", ""note"": ""Per-list candidate results, elected candidates marked '*'.""}]"
praha:org:candidate-list:ano-2011,ANO 2011,candidate_list,"[{""scheme"": ""volby.cz:xstrana"", ""identifier"": ""768""}]","[{""url"": ""https://www.volby.cz/pls/kv2022/kv1111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstat=0&xvyber=0"", ""note"": ""2022 municipal election, list #21 (14 seats).""}, {""url"": ""https://www.volby.cz/pls/kv2022/kv111111?xjazyk=CZ&xid=1&xdz=4&xnumnuts=1100&xobec=554782&xstrana=768&xstat=0&xvyber=0"", ""note"": ""Per-list candidate results, elected candidates marked '*'.""}]"
