id,name,given_name,family_name,identifiers,sources
praha:person:barbora-razga,Barbora Rázga,Barbora,Rázga,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Rázga  Barbora Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Rázga  Barbora Mgr.'""}]"
praha:person:adam-scheinherr,Adam Scheinherr,Adam,Scheinherr,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Scheinherr  Adam Ing. Ph.D., MSc.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing. Ph.D., MSc.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Scheinherr  Adam Ing. Ph.D., MSc.'""}]"
praha:person:martin-sedeke,Martin Sedeke,Martin,Sedeke,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Sedeke  Martin Ing.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Sedeke  Martin Ing.'""}]"
praha:person:zdenek-seidl,Zdeněk Seidl,Zdeněk,Seidl,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Seidl  Zdeněk prof. MUDr. Ph.D.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""prof. MUDr. Ph.D.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Seidl  Zdeněk prof. MUDr. Ph.D.'""}]"
praha:person:tomas-slabihoudek,Tomáš Slabihoudek,Tomáš,Slabihoudek,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Slabihoudek  Tomáš Ing.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Slabihoudek  Tomáš Ing.'""}]"
praha:person:bara-soukup,Bara Soukup,Bara,Soukup,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Soukup  Bara Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Soukup  Bara Mgr.'""}]"
praha:person:bohuslav-svoboda,Bohuslav Svoboda,Bohuslav,Svoboda,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Svoboda  Bohuslav doc. MUDr. CSc.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""doc. MUDr. CSc.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Svoboda  Bohuslav doc. MUDr. CSc.'""}]"
praha:person:eva-tylova,Eva Tylová,Eva,Tylová,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Tylová  Eva Ing.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Tylová  Eva Ing.'""}]"
praha:person:hana-trestikova,Hana Třeštíková,Hana,Třeštíková,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Třeštíková  Hana MgA.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""MgA.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Třeštíková  Hana MgA.'""}]"
praha:person:alexandra-udzenija,Alexandra Udženija,Alexandra,Udženija,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Udženija  Alexandra Ing.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Ing.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Udženija  Alexandra Ing.'""}]"
praha:person:milan-urban,Milan Urban,Milan,Urban,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Urban  Milan Dr. Ing.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Dr. Ing.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Urban  Milan Dr. Ing.'""}]"
praha:person:magdalena-valdmanova,Magdalena Valdmanová,Magdalena,Valdmanová,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Valdmanová  Magdalena""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Valdmanová  Magdalena'""}]"
praha:person:lenka-vedralova,Lenka Vedralová,Lenka,Vedralová,"[{""scheme"": ""praha:csv_column_header"", ""identifier"": ""Vedralová  Lenka Mgr.""}, {""scheme"": ""praha:academic_title"", ""identifier"": ""Mgr.""}]","[{""url"": ""https://storage.golemio.cz/ckan/obis/Vysledky_hlasovani_ZHMP_2022_-_2026.csv"", ""note"": ""CSV column header: 'Vedralová  Lenka Mgr.'""}]"
